,customer_id,Sales2021,item_description,YearMonth
0,1001,715,Cleaning Supplies,202105
1,1003,50,Grocery,202101
2,1004,687,Chocolate,202103
3,1005,318,Chocolate,202104
4,1006,955,Tote bag,202101
5,1008,215,Potions,202110
6,1009,504,Weapons,202105
7,1010,724,Cleaning Supplies,202112
8,1011,824,Tote bag,202105
9,1012,818,Chocolate,202101
10,1015,27,Cleaning Supplies,202103
11,1017,416,Potions,202101
12,1018,432,Books,202102
13,1019,181,Sewing Supplies,202105
14,1020,900,Weapons,202111
15,1021,178,Sewing Supplies,202106
16,1001,814,Produce,202106
17,1003,41,Potions,202103
18,1004,510,Weapons,202101
19,1005,168,Tote bag,202111
20,1006,42,Tools,202105
21,1008,645,Chocolate,202107
22,1009,581,Books,202108
23,1010,667,Sewing Supplies,202108
24,1011,738,Chocolate,202112
25,1012,440,Produce,202101
26,1015,650,Grocery,202101
27,1017,490,Tote bag,202108
28,1018,248,Tote bag,202108
29,1019,968,Grocery,202111
30,1020,940,Grocery,202101
31,1021,510,Sewing Supplies,202109
32,1001,189,Chocolate,202108
33,1003,132,Produce,202106
34,1004,477,Weapons,202112
35,1005,267,Sewing Supplies,202110
36,1006,879,Tote bag,202102
37,1008,721,Books,202104
38,1009,191,Potions,202105
39,1010,366,Cleaning Supplies,202109
40,1011,400,Sewing Supplies,202111
41,1012,457,Books,202106
42,1015,421,Sewing Supplies,202103
43,1017,134,Potions,202109
44,1018,777,Tote bag,202110
45,1019,250,Tools,202111
46,1020,799,Grocery,202111
47,1021,1000,Potions,202103
48,1001,718,Grocery,202112
49,1003,490,Books,202104
50,1004,763,Potions,202109
51,1005,836,Grocery,202112
52,1006,339,Tote bag,202110
53,1008,877,Books,202111
54,1009,62,Tote bag,202111
55,1010,634,Sewing Supplies,202103
56,1011,966,Weapons,202110
57,1012,33,Tote bag,202107
58,1015,585,Tote bag,202107
59,1017,411,Cleaning Supplies,202108
60,1018,1000,Potions,202102
61,1019,734,Books,202111
62,1020,367,Sewing Supplies,202105
63,1021,476,Grocery,202111
64,1001,517,Potions,202110
65,1003,743,Cleaning Supplies,202101
66,1004,605,Cleaning Supplies,202103
67,1005,821,Cleaning Supplies,202108
68,1006,269,Cleaning Supplies,202111
69,1008,526,Tote bag,202111
70,1009,332,Cleaning Supplies,202106
71,1010,67,Books,202106
72,1011,594,Potions,202111
73,1012,591,Chocolate,202103
74,1015,430,Sewing Supplies,202112
75,1017,798,Tote bag,202104
76,1018,944,Tools,202107
77,1019,847,Produce,202111
78,1020,311,Grocery,202107
79,1021,790,Produce,202106
80,1001,302,Chocolate,202102
81,1003,453,Weapons,202103
82,1004,681,Tools,202109
83,1005,521,Books,202108
84,1006,13,Tote bag,202106
85,1008,127,Potions,202104
86,1009,42,Produce,202109
87,1010,717,Weapons,202103
88,1011,943,Tote bag,202109
89,1012,562,Tools,202107
90,1015,163,Grocery,202108
91,1017,953,Tote bag,202109
92,1018,207,Weapons,202104
93,1019,703,Sewing Supplies,202109
94,1020,401,Tote bag,202109
95,1021,358,Grocery,202112
96,1001,491,Books,202104
97,1003,957,Tote bag,202107
98,1004,429,Cleaning Supplies,202108
99,1005,744,Books,202102
100,1006,439,Produce,202101
101,1008,153,Potions,202102
102,1009,735,Tote bag,202103
103,1010,836,Sewing Supplies,202102
104,1011,878,Potions,202112
105,1012,510,Potions,202109
106,1015,125,Tools,202104
107,1017,988,Potions,202104
108,1018,147,Sewing Supplies,202111
109,1019,152,Books,202108
110,1020,608,Potions,202107
111,1021,193,Tools,202111
112,1001,320,Produce,202109
113,1003,164,Grocery,202111
114,1004,782,Chocolate,202110
115,1005,447,Grocery,202110
116,1006,232,Grocery,202101
117,1008,137,Weapons,202111
118,1009,938,Potions,202112
119,1010,137,Weapons,202101
120,1011,765,Chocolate,202105
121,1001,382,Potions,202101
122,1003,933,Weapons,202109
123,1004,33,Books,202104
124,1005,725,Tote bag,202105
125,1006,174,Potions,202106
126,1008,443,Potions,202109
127,1009,176,Weapons,202106
128,1010,813,Books,202101
129,1011,180,Chocolate,202112
130,1012,771,Potions,202109
131,1015,52,Sewing Supplies,202112
132,1021,932,Potions,202104
133,1001,899,Sewing Supplies,202110
134,1003,362,Produce,202104
135,1004,727,Books,202105
136,1010,67,Tote bag,202109
137,1011,298,Tools,202102
138,1012,966,Grocery,202105
139,1015,322,Cleaning Supplies,202104
140,1017,932,Books,202110
141,1018,159,Tools,202106
142,1019,149,Tools,202107
143,1020,554,Chocolate,202111
144,1021,916,Books,202107
145,1001,449,Weapons,202104
146,1003,151,Potions,202102
147,1004,174,Cleaning Supplies,202107
148,1005,130,Tools,202101
149,1006,781,Books,202109
150,1008,257,Potions,202111
151,1009,34,Tote bag,202106
152,1010,869,Potions,202102
153,1011,668,Weapons,202110
154,1012,596,Books,202103
155,1015,714,Sewing Supplies,202108
156,1017,888,Weapons,202107
157,1018,63,Tools,202108
158,1019,963,Tools,202102
159,1020,513,Books,202101
160,1021,431,Potions,202105
161,1001,984,Grocery,202108
162,1003,418,Sewing Supplies,202109
163,1004,553,Tote bag,202110
164,1005,796,Tools,202102
165,1006,849,Cleaning Supplies,202110
166,1008,971,Chocolate,202103
167,1009,454,Potions,202103
168,1010,784,Sewing Supplies,202101
169,1011,988,Tote bag,202107
170,1012,267,Chocolate,202109
171,1015,351,Weapons,202106
172,1017,77,Books,202110
173,1018,229,Tote bag,202112
174,1019,905,Potions,202101
175,1020,747,Tools,202106
176,1021,468,Sewing Supplies,202104
177,1011,206,Books,202109
178,1012,388,Weapons,202102
179,1015,771,Tools,202107
180,1017,826,Grocery,202107
181,1018,810,Grocery,202105
182,1019,668,Books,202106
183,1020,198,Books,202101
184,1021,938,Tools,202104
185,1011,527,Grocery,202110
186,1012,766,Chocolate,202107
187,1015,595,Books,202108
188,1017,33,Potions,202111
189,1018,396,Tote bag,202105
190,1019,904,Sewing Supplies,202112
191,1020,45,Potions,202106
192,1021,257,Grocery,202112
193,1001,556,Chocolate,202112
194,1003,830,Potions,202106
195,1004,495,Tools,202102
196,1005,992,Potions,202103
197,1006,385,Produce,202111
198,1008,907,Weapons,202105
199,1009,450,Produce,202102
200,1010,409,Produce,202112
201,1011,134,Potions,202108
202,1012,809,Cleaning Supplies,202105
203,1015,946,Chocolate,202106
204,1017,217,Sewing Supplies,202110
205,1018,38,Tools,202109
206,1019,624,Grocery,202109
207,1020,612,Grocery,202108
208,1021,931,Tote bag,202104
209,1002,972,Grocery,202109
210,1007,515,Grocery,202107
211,1013,353,Sewing Supplies,202108
212,1014,606,Chocolate,202109
213,1016,904,Tools,202112
214,1002,287,Potions,202112
215,1007,262,Tote bag,202110
216,1013,858,Produce,202112
217,1014,513,Grocery,202103
218,1016,71,Produce,202104
219,1002,50,Tools,202107
220,1007,443,Produce,202110
221,1013,103,Produce,202110
222,1014,150,Produce,202102
223,1016,571,Grocery,202106
224,1002,155,Potions,202101
225,1007,190,Weapons,202103
226,1013,640,Tote bag,202110
227,1014,169,Potions,202112
228,1016,890,Grocery,202112
229,1002,102,Tote bag,202111
230,1007,296,Tote bag,202112
231,1013,238,Sewing Supplies,202105
232,1014,794,Tote bag,202103
233,1016,415,Potions,202102
234,1002,834,Produce,202106
235,1007,311,Potions,202111
236,1013,563,Weapons,202106
237,1014,57,Produce,202102
238,1016,591,Chocolate,202103
239,1002,521,Tools,202102
240,1007,511,Cleaning Supplies,202111
241,1013,796,Weapons,202109
242,1014,915,Tote bag,202109
243,1016,679,Chocolate,202108
244,1002,141,Weapons,202101
245,1007,638,Tools,202107
246,1013,970,Books,202105
247,1014,544,Potions,202101
248,1016,772,Potions,202107
249,1002,419,Sewing Supplies,202101
250,1007,277,Books,202107
251,1013,959,Grocery,202105
252,1014,794,Potions,202103
253,1016,923,Potions,202104
254,1002,697,Potions,202112
255,1007,382,Tote bag,202104
256,1013,370,Produce,202111
257,1014,285,Books,202105
258,1016,116,Chocolate,202107
259,1002,187,Tools,202102
260,1007,225,Cleaning Supplies,202101
261,1013,279,Produce,202110
262,1014,733,Produce,202105
263,1016,996,Tote bag,202102
264,1002,796,Chocolate,202102
265,1007,256,Chocolate,202111
266,1013,263,Grocery,202111
267,1014,336,Cleaning Supplies,202108
268,1016,820,Tools,202108
269,1002,345,Potions,202104
270,1007,864,Chocolate,202101
271,1013,802,Books,202101
272,1014,38,Tools,202102
273,1016,311,Chocolate,202102
274,1001,115,Books,202106
275,1003,524,Produce,202104
276,1004,519,Books,202109
277,1005,97,Potions,202101
278,1006,467,Potions,202112
279,1008,798,Weapons,202105
280,1009,916,Chocolate,202105
281,1010,921,Cleaning Supplies,202108
282,1011,972,Chocolate,202112
283,1012,499,Cleaning Supplies,202102
284,1015,798,Weapons,202104
285,1017,984,Chocolate,202106
286,1018,702,Sewing Supplies,202102
287,1019,554,Produce,202108
288,1020,538,Tote bag,202101
289,1021,502,Weapons,202110
290,1002,889,Tools,202102
291,1007,76,Potions,202109
292,1013,550,Grocery,202103
293,1014,734,Grocery,202112
294,1016,219,Cleaning Supplies,202106
295,1002,915,Sewing Supplies,202101
296,1007,205,Cleaning Supplies,202110
297,1013,973,Grocery,202104
298,1014,539,Potions,202110
299,1016,173,Grocery,202109
300,1001,30,Tools,202105
301,1003,341,Chocolate,202105
302,1004,812,Tote bag,202109
303,1005,236,Sewing Supplies,202103
304,1006,35,Cleaning Supplies,202108
305,1008,910,Cleaning Supplies,202102
306,1009,409,Chocolate,202110
307,1010,41,Sewing Supplies,202108
308,1011,782,Cleaning Supplies,202107
309,1012,53,Tote bag,202102
310,1015,838,Cleaning Supplies,202112
311,1017,636,Potions,202104
312,1018,692,Produce,202111
313,1019,807,Tools,202102
314,1020,56,Grocery,202104
315,1021,560,Cleaning Supplies,202111
316,1002,788,Produce,202108
317,1007,652,Potions,202107
318,1013,346,Tools,202112
319,1014,585,Potions,202112
320,1016,450,Books,202105
321,1002,419,Chocolate,202112
322,1007,774,Potions,202112
323,1013,273,Tools,202110
324,1014,546,Tools,202102
325,1016,900,Produce,202109
326,1001,212,Tote bag,202101
327,1003,608,Chocolate,202105
328,1004,35,Tote bag,202111
329,1005,834,Books,202107
330,1006,945,Produce,202104
331,1008,797,Weapons,202102
332,1009,784,Tools,202110
333,1010,638,Books,202101
334,1011,733,Weapons,202109
335,1012,160,Tools,202108
336,1015,700,Cleaning Supplies,202110
337,1017,113,Tools,202107
338,1018,944,Books,202102
339,1019,318,Sewing Supplies,202112
340,1020,413,Grocery,202101
341,1021,295,Grocery,202102
342,1002,76,Potions,202111
343,1007,140,Grocery,202105
344,1013,578,Cleaning Supplies,202108
345,1014,914,Weapons,202105
346,1016,493,Cleaning Supplies,202111
347,1002,717,Produce,202104
348,1007,133,Weapons,202109
349,1013,254,Cleaning Supplies,202103
350,1014,385,Tools,202101
351,1016,698,Weapons,202110
352,1001,209,Cleaning Supplies,202103
353,1003,125,Produce,202112
354,1004,96,Potions,202109
355,1005,962,Chocolate,202101
356,1006,961,Grocery,202104
357,1008,187,Produce,202109
358,1009,56,Books,202107
359,1010,924,Tote bag,202111
360,1011,630,Weapons,202108
361,1012,195,Chocolate,202112
362,1015,670,Tote bag,202106
363,1017,157,Weapons,202108
364,1018,447,Chocolate,202107
365,1019,909,Tote bag,202103
366,1020,559,Weapons,202104
367,1021,471,Tools,202105
368,1002,520,Potions,202106
369,1007,256,Tote bag,202107
370,1013,32,Cleaning Supplies,202101
371,1014,444,Cleaning Supplies,202112
372,1016,72,Sewing Supplies,202106
373,1002,711,Potions,202112
374,1007,473,Chocolate,202112
375,1013,932,Grocery,202112
376,1014,721,Tote bag,202104
377,1016,682,Tote bag,202110
378,1001,766,Books,202110
379,1003,599,Tote bag,202101
380,1004,952,Weapons,202103
381,1005,584,Tote bag,202108
382,1006,896,Produce,202107
383,1008,736,Chocolate,202102
384,1009,911,Books,202111
385,1010,184,Weapons,202102
386,1011,506,Chocolate,202111
387,1012,676,Potions,202106
388,1015,999,Produce,202105
389,1017,166,Tote bag,202101
390,1018,300,Produce,202101
391,1019,230,Weapons,202107
392,1020,751,Potions,202109
393,1021,662,Sewing Supplies,202102
394,1002,545,Tools,202107
395,1007,889,Sewing Supplies,202111
396,1013,553,Tools,202108
397,1014,186,Chocolate,202107
398,1016,397,Tote bag,202111
399,1002,938,Sewing Supplies,202102
400,1007,133,Chocolate,202106
401,1013,545,Grocery,202101
402,1014,989,Chocolate,202109
403,1016,661,Chocolate,202102
404,1001,903,Cleaning Supplies,202112
405,1003,170,Tools,202108
406,1004,410,Weapons,202108
407,1005,144,Produce,202108
408,1006,903,Chocolate,202104
409,1008,708,Cleaning Supplies,202101
410,1009,18,Sewing Supplies,202104
411,1010,457,Produce,202103
412,1011,496,Potions,202111
413,1012,233,Books,202105
414,1015,847,Produce,202107
415,1017,226,Tools,202101
416,1018,804,Potions,202104
417,1019,995,Chocolate,202101
418,1020,390,Produce,202104
419,1021,363,Tote bag,202109
420,1002,266,Sewing Supplies,202111
421,1007,245,Grocery,202107
422,1013,349,Cleaning Supplies,202109
423,1014,204,Potions,202105
424,1016,676,Tote bag,202102
425,1002,700,Grocery,202102
426,1007,365,Cleaning Supplies,202106
427,1013,528,Tools,202111
428,1014,484,Tools,202109
429,1016,514,Weapons,202106
